age,taille,poids,sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,risque_personnel,loyer_mensuel,montant_pret
69,181.4,37.9,oui,bac,Île-de-France,oui,1435,célibataire,0.24,5175.89104031576,500.0
32,172.4,46.2,non,master,Corse,non,1861,marié,0.78,5000.0,500.0
74,179.6,79.9,oui,bac+2,Occitanie,oui,1998,divorcé,0.59,5175.89104031576,500.0
55,185.8,54.9,oui,doctorat,Normandie,oui,602,veuf,0.35,10000.0,5428.047793885788
40,177.6,85.5,oui,master,Normandie,oui,3474,célibataire,0.71,1278.27,16752.789752354092
56,160.5,66.6,non,doctorat,Bretagne,non,1908,marié,0.47,5000.0,20423.84320730014
57,176.5,77.0,non,doctorat,Corse,oui,1176,marié,0.32,5175.89104031576,500.0
38,160.2,57.8,non,aucun,Hauts-de-France,oui,3112,divorcé,0.7,623.38,500.0
33,167.5,38.5,oui,master,Provence-Alpes-Côte d’Azur,non,2377,veuf,0.44,5000.0,18901.259369115334
48,156.8,77.6,oui,doctorat,Île-de-France,oui,4010,veuf,0.57,10000.0,40137.50246898064
59,174.4,62.1,oui,bac,Provence-Alpes-Côte d’Azur,oui,2448,veuf,0.33,10000.0,500.0
41,172.6,62.4,non,bac+2,Île-de-France,oui,4319,célibataire,0.08,5175.89104031576,500.0
43,153.2,69.8,oui,bac+2,Auvergne-Rhône-Alpes,non,4897,veuf,0.27,10000.0,35962.04802835945
45,168.0,58.7,non,bac,Provence-Alpes-Côte d’Azur,non,4231,marié,0.06,5000.0,500.0
61,167.0,57.3,non,doctorat,Normandie,oui,2261,marié,0.73,734.6,24528.671120857394
21,162.0,79.6,non,aucun,Hauts-de-France,oui,645,veuf,0.03,10000.0,500.0
22,160.4,73.5,oui,master,Provence-Alpes-Côte d’Azur,non,3191,veuf,0.74,10000.0,3639.7413556351794
75,147.7,54.3,non,master,Bretagne,non,2452,marié,0.49,5175.89104031576,500.0
60,164.2,79.5,oui,master,Île-de-France,non,2571,marié,0.41,10000.0,33049.468422152735
44,150.0,57.9,non,bac+2,Hauts-de-France,non,4154,célibataire,0.76,5000.0,10656.8885958248
21,179.9,48.9,oui,bac+2,Occitanie,non,969,marié,0.02,731.72,500.0
29,178.0,76.3,non,bac,Île-de-France,oui,3121,célibataire,0.72,5000.0,7051.1771065952
25,166.1,82.6,non,master,Occitanie,non,3384,divorcé,0.65,10000.0,500.0
68,185.4,56.5,oui,aucun,Auvergne-Rhône-Alpes,non,2285,célibataire,0.21,10000.0,2724.919805153449
27,157.7,52.5,oui,doctorat,Auvergne-Rhône-Alpes,oui,2483,marié,0.99,33.29,26282.620988748466
72,157.2,64.2,non,bac,Hauts-de-France,non,2466,veuf,0.16,5175.89104031576,5070.610961595275
72,162.2,54.9,oui,doctorat,Bretagne,non,2684,veuf,0.78,5000.0,15080.08702060483
35,178.6,70.5,oui,aucun,Hauts-de-France,non,4243,veuf,0.02,10000.0,14306.900020371317
44,154.9,67.5,non,bac,Occitanie,non,2265,marié,0.22,10000.0,6693.74203294808
23,153.4,74.9,oui,master,Provence-Alpes-Côte d’Azur,oui,3055,célibataire,0.35,5175.89104031576,1798.0125221383746
42,170.7,87.0,oui,doctorat,Île-de-France,non,1203,marié,0.38,5175.89104031576,10497.778053549608
62,165.3,86.1,non,aucun,Corse,oui,4340,célibataire,0.7,1004.67,500.0
23,170.3,91.7,non,aucun,Corse,non,1676,marié,0.04,10000.0,500.0
23,170.8,46.7,oui,bac+2,Bretagne,oui,531,divorcé,0.96,5175.89104031576,500.0
22,157.9,31.8,non,bac+2,Bretagne,oui,1733,marié,0.64,1411.64,6372.475344505444
37,166.2,85.2,oui,bac,Île-de-France,non,2743,divorcé,0.49,5175.89104031576,16741.9804046619
27,160.6,71.5,oui,doctorat,Occitanie,non,500,veuf,0.23,5175.89104031576,14504.604268333092
49,156.9,68.6,non,bac+2,Corse,non,1711,veuf,0.53,5175.89104031576,500.0
27,137.6,57.3,oui,bac+2,Auvergne-Rhône-Alpes,oui,3193,marié,0.07,5175.89104031576,17151.38822035942
59,172.6,70.3,non,doctorat,Hauts-de-France,oui,3498,marié,0.86,459.59,12032.654325077505
41,177.4,82.0,oui,bac+2,Occitanie,non,1882,veuf,0.2,5175.89104031576,28685.37160497041
45,162.2,46.1,non,bac,Hauts-de-France,oui,1084,veuf,0.98,10000.0,500.0
73,159.2,67.1,non,master,Hauts-de-France,non,2345,veuf,0.86,5175.89104031576,500.0
43,161.9,56.7,non,aucun,Occitanie,non,2740,divorcé,0.1,773.51,6726.144540197254
60,165.8,64.5,oui,aucun,Bretagne,oui,1704,divorcé,0.3,5000.0,500.0
57,173.2,54.9,non,aucun,Auvergne-Rhône-Alpes,oui,871,veuf,0.47,5175.89104031576,500.0
64,171.3,71.2,non,master,Hauts-de-France,non,2589,veuf,0.7,5175.89104031576,20212.703427559845
49,181.9,72.9,non,doctorat,Corse,oui,1127,marié,0.22,5175.89104031576,5504.582746306162
68,181.6,81.4,non,master,Hauts-de-France,non,1526,marié,0.49,5175.89104031576,8878.890939012841
23,162.8,42.8,non,bac,Bretagne,non,1797,divorcé,0.04,546.16,500.0
40,155.4,74.5,non,aucun,Auvergne-Rhône-Alpes,oui,2165,marié,0.84,887.1,500.0
72,171.1,60.4,non,bac+2,Provence-Alpes-Côte d’Azur,oui,2676,célibataire,0.46,5000.0,10124.44495985712
68,161.0,63.5,non,master,Bretagne,oui,2107,divorcé,0.84,688.7,8921.973730630438
32,163.8,76.0,non,doctorat,Corse,oui,2063,divorcé,0.38,854.72,6035.446018551712
48,188.6,81.7,oui,master,Normandie,oui,1290,divorcé,0.49,10000.0,8255.660172817976
75,164.3,65.9,non,aucun,Bretagne,non,1313,divorcé,0.85,1260.4,5083.612822428259
57,171.0,39.3,non,aucun,Bretagne,oui,1029,marié,0.52,10000.0,500.0
75,175.4,79.0,oui,aucun,Occitanie,non,2362,divorcé,0.39,5000.0,500.0
62,178.4,66.8,oui,aucun,Corse,oui,3735,divorcé,0.4,5175.89104031576,500.0
37,171.7,82.7,non,bac,Île-de-France,non,2379,marié,0.21,5175.89104031576,500.0
63,170.2,47.8,non,master,Auvergne-Rhône-Alpes,non,2170,célibataire,0.15,902.3,16629.25199108691
70,180.8,86.5,oui,master,Provence-Alpes-Côte d’Azur,oui,5826,marié,0.62,5175.89104031576,29125.10607760429
51,150.6,81.2,oui,doctorat,Hauts-de-France,non,3353,marié,0.86,5175.89104031576,29651.483306242997
31,176.9,72.0,non,doctorat,Occitanie,oui,1599,marié,0.35,5000.0,500.0
31,170.0,51.7,oui,doctorat,Île-de-France,non,1814,divorcé,0.07,5175.89104031576,38558.79613385785
21,172.5,75.1,oui,bac+2,Hauts-de-France,oui,609,célibataire,1.0,723.68,500.0
20,179.9,73.5,oui,bac,Auvergne-Rhône-Alpes,oui,3332,célibataire,0.03,5175.89104031576,14791.054255033709
56,161.2,92.0,non,doctorat,Normandie,non,2204,marié,0.81,5000.0,24690.30817151772
42,166.9,85.5,oui,aucun,Auvergne-Rhône-Alpes,non,3099,divorcé,0.73,5175.89104031576,14232.322333697375
55,182.7,74.8,non,doctorat,Auvergne-Rhône-Alpes,oui,1771,marié,0.09,5000.0,500.0
25,156.3,82.4,non,master,Bretagne,non,5431,veuf,0.29,5000.0,27702.156529405507
67,176.1,75.2,non,doctorat,Île-de-France,non,2979,veuf,0.56,5175.89104031576,30331.9324936551
49,180.4,66.0,oui,aucun,Provence-Alpes-Côte d’Azur,oui,3192,veuf,0.35,621.78,500.0
47,168.4,66.8,non,bac+2,Bretagne,non,3877,divorcé,0.69,780.64,26198.455079027182
68,169.2,93.5,oui,master,Provence-Alpes-Côte d’Azur,oui,2128,célibataire,0.18,5175.89104031576,500.0
19,152.9,55.7,oui,aucun,Île-de-France,non,1772,divorcé,0.42,10000.0,12454.328982490384
65,176.8,59.5,oui,bac,Île-de-France,non,5181,veuf,0.56,10000.0,14858.463980839962
75,160.0,66.5,oui,bac+2,Normandie,oui,3746,marié,0.73,1002.34,16415.71124195981
53,178.0,43.5,oui,master,Normandie,oui,2952,célibataire,0.03,1101.41,24462.730419394706
59,151.6,78.3,oui,aucun,Provence-Alpes-Côte d’Azur,oui,500,célibataire,0.38,672.52,500.0
20,171.6,88.3,non,bac+2,Provence-Alpes-Côte d’Azur,non,500,célibataire,0.2,921.64,500.0
34,176.9,43.0,oui,doctorat,Normandie,non,1863,marié,0.92,5175.89104031576,14449.054890309168
54,164.4,80.1,oui,aucun,Bretagne,oui,1363,marié,0.44,10000.0,500.0
73,159.4,69.4,oui,bac,Hauts-de-France,oui,3806,marié,0.29,5175.89104031576,500.0
67,164.9,64.9,non,bac,Île-de-France,non,951,célibataire,0.35,5000.0,500.0
25,170.7,79.9,non,aucun,Normandie,non,500,marié,0.26,10000.0,500.0
66,151.8,58.3,non,master,Hauts-de-France,non,2612,célibataire,0.25,1616.31,500.0
69,185.7,71.8,non,aucun,Occitanie,non,936,marié,0.28,5175.89104031576,500.0
59,168.4,72.7,oui,master,Bretagne,non,1251,marié,0.86,926.12,4878.545755190827
35,154.3,90.8,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,614,veuf,0.95,821.99,500.0
40,173.7,61.6,oui,doctorat,Occitanie,non,1899,marié,0.31,1414.5,23223.68674933023
64,156.4,52.9,non,aucun,Occitanie,non,1541,marié,0.33,5175.89104031576,500.0
55,147.3,95.3,oui,doctorat,Corse,non,1440,marié,0.06,948.67,32053.702626437243
51,189.5,66.6,oui,aucun,Hauts-de-France,non,4944,marié,0.92,10000.0,500.0
43,161.7,70.8,non,doctorat,Bretagne,oui,1103,marié,0.69,10000.0,500.0
36,168.7,94.1,non,bac+2,Île-de-France,oui,2002,divorcé,0.23,5000.0,9001.546015414096
72,161.5,47.1,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,4216,divorcé,0.29,10000.0,500.0
23,166.6,66.8,non,master,Provence-Alpes-Côte d’Azur,oui,2582,marié,0.83,5000.0,10903.397392817302
67,155.8,61.9,non,bac,Normandie,non,863,célibataire,0.65,10000.0,500.0
26,165.8,83.7,non,master,Occitanie,non,3895,marié,0.61,5175.89104031576,3166.058998466729
70,170.0,68.5,oui,doctorat,Île-de-France,oui,500,marié,0.92,548.48,24181.38134356665
64,161.4,69.0,non,aucun,Île-de-France,oui,3318,marié,0.61,10000.0,2720.813788949977
49,172.1,68.2,non,master,Hauts-de-France,non,500,marié,0.5,5000.0,500.0
69,173.4,51.2,oui,bac+2,Île-de-France,oui,1817,veuf,0.15,10000.0,500.0
22,169.2,93.2,non,doctorat,Normandie,oui,1224,divorcé,0.23,5000.0,11196.8709848394
19,157.9,61.6,oui,master,Hauts-de-France,oui,2237,divorcé,0.62,10000.0,4057.591842683427
38,169.3,96.0,oui,doctorat,Hauts-de-France,oui,3210,divorcé,0.26,10000.0,30089.662669880072
22,173.5,61.9,oui,bac,Île-de-France,non,796,marié,0.88,5175.89104031576,10822.827044993295
63,186.8,70.6,oui,aucun,Occitanie,non,3885,divorcé,0.5,10000.0,15757.66361823247
56,170.1,74.4,oui,bac,Bretagne,non,898,marié,0.02,5175.89104031576,500.0
47,160.5,48.4,non,aucun,Bretagne,oui,3582,divorcé,0.12,724.76,3735.658720627448
46,173.9,58.2,oui,bac+2,Normandie,non,2047,divorcé,0.1,957.57,15966.5991061799
49,179.8,43.1,non,bac,Hauts-de-France,non,3214,marié,0.55,303.13,7056.806036648549
56,180.2,72.9,non,master,Normandie,oui,500,célibataire,0.14,5175.89104031576,500.0
51,172.0,76.7,oui,aucun,Corse,oui,3527,marié,0.03,654.46,500.0
22,160.1,71.0,non,bac,Occitanie,oui,2450,marié,0.86,10000.0,500.0
30,172.0,45.4,oui,bac,Hauts-de-France,oui,2893,célibataire,0.05,793.96,500.0
57,171.9,88.1,non,bac,Provence-Alpes-Côte d’Azur,oui,4262,veuf,0.89,10000.0,500.0
51,184.7,62.0,oui,doctorat,Provence-Alpes-Côte d’Azur,non,2926,veuf,0.42,5000.0,35758.18072081153
34,170.4,86.6,non,master,Normandie,oui,2399,marié,0.01,5000.0,11737.23847284871
71,169.8,73.9,non,bac+2,Bretagne,oui,1287,marié,0.63,10000.0,2814.1386162062663
28,178.2,72.8,non,aucun,Hauts-de-France,oui,1768,marié,0.71,5175.89104031576,500.0
20,157.0,67.8,non,aucun,Provence-Alpes-Côte d’Azur,non,1559,marié,0.79,10000.0,500.0
65,162.2,82.4,non,bac+2,Bretagne,oui,2632,divorcé,0.57,5000.0,11759.638243193413
63,179.7,93.6,non,bac,Auvergne-Rhône-Alpes,non,2798,marié,0.9,656.99,14866.76807385541
67,160.3,73.4,oui,bac+2,Occitanie,non,3409,marié,0.87,5175.89104031576,18711.66358452964
40,170.3,74.4,oui,aucun,Hauts-de-France,oui,3130,marié,0.82,5175.89104031576,500.0
74,169.1,76.3,oui,master,Hauts-de-France,non,1899,veuf,0.41,5000.0,20814.697568663774
21,169.3,74.0,non,bac,Auvergne-Rhône-Alpes,oui,3444,marié,0.23,5000.0,500.0
32,150.5,66.6,oui,master,Provence-Alpes-Côte d’Azur,non,2603,veuf,0.35,10000.0,30210.987049606567
75,184.8,58.6,non,master,Bretagne,non,3656,divorcé,0.22,10000.0,3066.137791409429
37,158.0,66.9,non,bac+2,Normandie,oui,4084,veuf,0.52,10000.0,9573.778332032196
24,180.3,99.8,oui,aucun,Occitanie,oui,2306,divorcé,0.23,10000.0,4554.810431805047
47,173.5,75.8,non,bac+2,Bretagne,oui,2384,marié,0.22,5000.0,6829.661938726994
23,158.8,44.8,non,doctorat,Bretagne,oui,1713,divorcé,0.58,5175.89104031576,500.0
44,162.3,45.4,non,aucun,Normandie,oui,1962,marié,0.7,10000.0,500.0
35,153.7,76.8,oui,doctorat,Bretagne,non,2789,célibataire,0.64,5000.0,29152.59717199099
40,180.5,85.9,oui,doctorat,Bretagne,oui,3336,célibataire,0.21,5000.0,500.0
57,160.5,80.2,oui,master,Auvergne-Rhône-Alpes,non,2623,divorcé,0.54,10000.0,4383.465051415476
41,179.0,35.9,oui,master,Île-de-France,non,2699,célibataire,0.33,5175.89104031576,8620.740440969317
68,177.0,86.3,oui,aucun,Bretagne,non,3059,divorcé,0.75,5000.0,500.0
23,163.3,61.0,oui,aucun,Hauts-de-France,non,2360,divorcé,0.87,10000.0,500.0
43,147.0,69.5,oui,doctorat,Normandie,oui,4971,divorcé,0.36,10000.0,25883.89703555264
