age,taille,poids,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
19,169.3,79.9,non,0,Île-de-France,oui,non,2124,célibataire,0.53,2023-03-18,5000.0,500.0
49,160.0,72.3,non,1,Normandie,non,oui,3422,,0.6,2020-01-07,5175.89104031576,14326.37709078331
47,188.7,73.5,non,1,Hauts-de-France,oui,oui,3838,,0.5,2022-08-27,5000.0,500.0
29,167.4,70.9,oui,0,Hauts-de-France,oui,oui,660,célibataire,0.64,2024-12-25,5175.89104031576,500.0
64,169.6,60.7,non,3,Île-de-France,non,oui,2071,veuf,0.6,2021-05-20,10000.0,16528.519173978777
75,178.4,54.2,oui,0,Auvergne-Rhône-Alpes,oui,oui,2714,marié,0.88,2023-03-27,10000.0,4704.9737016730005
39,190.1,82.8,oui,1,Occitanie,non,oui,2783,veuf,0.83,2021-04-30,577.66,12733.330382969947
60,162.6,77.6,non,1,Auvergne-Rhône-Alpes,oui,oui,1788,divorcé,0.56,2024-11-01,5000.0,10540.674784050036
31,181.1,69.4,oui,3,Hauts-de-France,oui,oui,2600,divorcé,0.98,2025-05-12,5000.0,6156.501558240514
26,159.7,99.5,non,4,Occitanie,oui,non,3008,célibataire,0.05,2024-07-23,5175.89104031576,500.0
28,160.2,92.5,oui,2,Provence-Alpes-Côte d’Azur,oui,non,500,célibataire,0.4,2024-05-08,5000.0,500.0
21,168.4,71.1,oui,4,Hauts-de-France,oui,oui,3695,marié,0.17,2022-04-26,5000.0,22775.8955135935
70,172.9,70.9,oui,4,Hauts-de-France,oui,oui,3304,marié,0.28,2025-01-08,5000.0,8853.723228062805
42,185.9,57.8,oui,2,Auvergne-Rhône-Alpes,oui,oui,897,célibataire,0.05,2025-05-15,5000.0,11778.343548052928
62,184.7,67.1,oui,3,Île-de-France,non,oui,4278,célibataire,0.7,2022-01-12,10000.0,31072.702663736723
37,181.5,91.8,non,3,Provence-Alpes-Côte d’Azur,non,oui,3072,célibataire,0.56,2022-01-23,5175.89104031576,21531.409941811824
34,174.5,75.3,non,0,Occitanie,oui,oui,2537,divorcé,0.97,2025-04-03,10000.0,500.0
37,164.1,74.1,non,3,Auvergne-Rhône-Alpes,non,non,4525,veuf,0.81,2024-12-10,949.24,10946.391315339892
30,163.1,84.3,non,3,Bretagne,non,non,1295,veuf,0.52,2020-05-02,5175.89104031576,500.0
75,176.9,66.4,oui,4,Occitanie,oui,non,1859,célibataire,0.02,2021-10-06,547.03,500.0
34,181.6,66.8,oui,2,Hauts-de-France,oui,oui,1566,célibataire,0.28,2020-05-22,5175.89104031576,1992.4825524566772
55,172.2,91.8,oui,1,Provence-Alpes-Côte d’Azur,oui,oui,3929,marié,0.4,2025-05-29,5175.89104031576,15002.912094814255
32,143.5,82.1,oui,0,Bretagne,oui,non,3770,divorcé,0.4,2022-11-08,5175.89104031576,500.0
71,175.2,71.9,oui,0,Corse,oui,non,4747,marié,0.12,2020-11-04,5000.0,500.0
44,168.8,56.1,non,3,Normandie,oui,oui,3214,marié,0.82,2020-04-25,5175.89104031576,10488.968596578909
70,169.1,75.5,oui,4,Provence-Alpes-Côte d’Azur,oui,oui,4602,divorcé,0.36,2025-02-04,5175.89104031576,28770.26971420019
60,165.9,67.6,non,2,Occitanie,non,non,3203,veuf,0.12,2020-08-29,944.44,500.0
70,165.1,77.1,non,4,Auvergne-Rhône-Alpes,non,oui,3865,célibataire,0.52,2024-07-06,1128.66,37282.162849122215
54,180.3,75.4,oui,0,Normandie,non,oui,1851,marié,0.67,2023-10-12,348.33,10767.439217607673
61,160.7,83.0,oui,3,Occitanie,non,oui,1598,marié,0.39,2024-06-24,10000.0,24759.669493278125
56,177.9,61.9,non,0,Bretagne,non,oui,1770,veuf,0.83,2022-11-08,185.52,4161.441442592443
33,168.1,88.1,oui,3,Bretagne,non,oui,1083,marié,0.49,2022-01-29,10000.0,20879.755904736496
63,183.7,56.2,non,4,Hauts-de-France,oui,oui,3127,,0.17,2023-06-10,5000.0,14801.426364952236
33,193.2,42.5,oui,1,Normandie,oui,oui,3041,marié,0.66,2021-03-13,627.58,11145.183005926978
34,163.0,81.6,oui,4,Auvergne-Rhône-Alpes,oui,non,2741,divorcé,0.6,2022-07-22,5175.89104031576,500.0
47,167.4,59.2,oui,4,Bretagne,oui,oui,3059,veuf,0.69,2022-02-05,5175.89104031576,28698.200373046937
26,184.2,77.3,oui,0,Hauts-de-France,oui,oui,2663,,0.51,2023-11-30,748.46,500.0
46,168.0,66.4,non,4,Occitanie,oui,oui,3361,marié,0.65,2020-08-18,10000.0,16872.53990370362
40,155.4,82.9,non,4,Normandie,oui,non,2530,divorcé,0.7,2024-02-29,10000.0,500.0
43,177.3,83.2,oui,4,Occitanie,non,oui,2660,veuf,0.53,2020-03-04,926.62,37114.160550787055
55,168.4,80.0,oui,4,Normandie,non,oui,500,,0.97,2020-09-26,559.26,29358.17769561137
18,158.6,77.5,oui,0,Auvergne-Rhône-Alpes,oui,oui,2023,marié,0.89,2023-01-16,1032.32,500.0
62,171.4,77.2,non,2,Corse,non,oui,904,marié,0.29,2021-08-15,1065.43,6712.726721442828
45,173.3,68.6,non,4,Île-de-France,non,non,568,veuf,0.51,2023-07-13,10000.0,500.0
29,175.2,69.5,non,1,Provence-Alpes-Côte d’Azur,oui,oui,3624,veuf,0.21,2025-04-01,1073.5,500.0
30,170.6,54.3,oui,3,Occitanie,non,oui,2285,marié,0.07,2021-09-27,5000.0,24341.03004691129
74,159.7,95.8,non,3,Île-de-France,oui,oui,1823,veuf,0.26,2024-02-06,5000.0,9958.305010076558
42,173.8,71.8,oui,0,Bretagne,non,oui,2040,,0.29,2022-10-18,10000.0,15699.8867602253
41,179.5,65.6,non,2,Bretagne,non,oui,2321,marié,0.53,2021-12-25,5000.0,15785.751255071553
30,179.1,71.9,oui,3,Provence-Alpes-Côte d’Azur,oui,oui,5481,divorcé,0.08,2024-12-09,5000.0,22240.901666635506
23,162.2,72.1,oui,1,Auvergne-Rhône-Alpes,oui,non,3627,veuf,0.77,2022-10-08,5175.89104031576,500.0
74,171.8,61.8,non,2,Provence-Alpes-Côte d’Azur,non,oui,1216,divorcé,0.79,2024-10-29,5000.0,11292.029477601953
22,190.0,63.9,oui,1,Bretagne,oui,oui,1731,divorcé,0.25,2021-11-18,5000.0,4529.690297241665
71,155.9,37.0,non,0,Occitanie,non,non,4762,,0.03,2023-05-04,1486.62,500.0
41,175.3,73.0,oui,2,Hauts-de-France,non,oui,3480,divorcé,0.86,2020-02-22,10000.0,17264.275901828485
18,168.4,73.9,non,0,Auvergne-Rhône-Alpes,non,non,4463,marié,0.15,2022-11-23,5175.89104031576,500.0
18,170.9,61.7,non,4,Île-de-France,non,oui,1668,divorcé,0.83,2023-03-06,1149.82,25390.88273988203
36,193.8,73.4,non,1,Bretagne,oui,oui,974,,0.18,2022-06-05,650.62,500.0
41,154.1,97.5,non,3,Bretagne,oui,oui,1993,divorcé,0.47,2025-01-19,5175.89104031576,1281.9229939424142
59,156.8,75.3,non,0,Normandie,oui,oui,3359,célibataire,0.58,2020-08-22,5175.89104031576,500.0
18,162.9,79.1,oui,2,Provence-Alpes-Côte d’Azur,oui,oui,2863,,0.34,2020-01-03,1064.25,4124.384923241231
52,163.6,39.3,non,1,Provence-Alpes-Côte d’Azur,oui,oui,2217,veuf,0.59,2022-07-03,5000.0,1703.2091550614111
44,159.6,84.8,oui,3,Île-de-France,oui,oui,3603,marié,0.34,2023-06-23,5175.89104031576,18161.86602584039
64,170.7,71.5,non,4,Corse,non,non,3097,marié,0.83,2024-10-13,5000.0,500.0
40,169.0,63.5,non,2,Normandie,non,non,2140,célibataire,0.09,2020-02-01,798.03,500.0
73,178.7,79.1,non,1,Hauts-de-France,oui,oui,2777,divorcé,0.32,2023-07-07,1172.07,500.0
56,181.1,72.0,non,3,Provence-Alpes-Côte d’Azur,non,oui,1075,,0.41,2020-01-04,10000.0,10667.772211678155
36,174.3,56.6,non,0,Bretagne,non,oui,3619,,0.43,2023-01-15,10000.0,13279.43790734672
34,174.1,67.6,oui,2,Corse,non,oui,2597,veuf,0.3,2023-11-03,1552.97,14865.32774958236
29,178.3,77.1,oui,0,Corse,non,oui,3152,célibataire,0.88,2020-03-12,5175.89104031576,2426.265552876417
25,164.8,42.6,non,0,Bretagne,non,oui,3243,célibataire,0.56,2021-02-03,522.19,500.0
59,172.1,66.4,oui,4,Normandie,oui,oui,1484,,0.25,2022-12-09,5000.0,17717.330429437272
41,165.8,82.8,oui,2,Corse,non,oui,1797,divorcé,0.31,2024-03-11,283.86,10146.957094539635
74,151.8,51.9,non,2,Auvergne-Rhône-Alpes,oui,oui,2986,divorcé,0.74,2020-12-19,5000.0,11837.808210233152
24,165.3,66.9,oui,0,Bretagne,non,oui,1930,marié,0.32,2024-11-14,948.83,10379.81877962131
73,166.9,69.0,non,0,Auvergne-Rhône-Alpes,non,oui,4771,veuf,0.47,2020-12-20,5175.89104031576,19719.5017886146
60,167.8,39.7,non,0,Occitanie,non,non,2600,marié,0.26,2023-09-09,10000.0,500.0
22,189.5,92.8,non,2,Normandie,non,non,1878,divorcé,0.93,2020-08-09,5175.89104031576,500.0
75,160.8,68.2,non,2,Auvergne-Rhône-Alpes,non,non,4778,célibataire,0.64,2024-05-06,5000.0,8980.312053464007
75,160.7,89.3,oui,1,Île-de-France,oui,non,2248,célibataire,0.02,2023-04-30,10000.0,500.0
41,163.7,84.2,non,1,Hauts-de-France,oui,oui,3039,,0.92,2022-04-16,883.63,500.0
40,171.7,58.2,non,1,Île-de-France,oui,non,1899,veuf,0.11,2020-10-18,5175.89104031576,500.0
39,163.6,40.5,non,0,Île-de-France,oui,non,3230,célibataire,0.31,2024-09-03,10000.0,500.0
47,179.2,67.9,oui,0,Île-de-France,non,oui,3789,divorcé,0.68,2020-07-06,5175.89104031576,18509.20677497533
57,174.0,83.7,oui,1,Corse,non,oui,4207,célibataire,0.78,2023-06-04,5175.89104031576,21549.82401911197
69,181.4,37.9,oui,1,Île-de-France,oui,oui,1435,célibataire,0.24,2021-08-07,5175.89104031576,500.0
32,172.4,46.2,non,3,Corse,non,non,1861,,0.78,2020-08-13,5000.0,500.0
74,179.6,79.9,oui,2,Occitanie,oui,non,1998,divorcé,0.59,2023-05-03,5175.89104031576,500.0
55,185.8,54.9,oui,4,Normandie,oui,oui,602,veuf,0.35,2023-11-24,10000.0,5428.047793885788
40,177.6,85.5,oui,3,Normandie,oui,oui,3474,célibataire,0.71,2021-03-04,1278.27,16752.789752354092
56,160.5,66.6,non,4,Bretagne,non,oui,1908,marié,0.47,2024-12-22,5000.0,20423.84320730014
57,176.5,77.0,non,4,Corse,oui,oui,1176,marié,0.32,2020-06-29,5175.89104031576,500.0
38,160.2,57.8,non,0,Hauts-de-France,oui,oui,3112,divorcé,0.7,2020-12-18,623.38,500.0
33,167.5,38.5,oui,3,Provence-Alpes-Côte d’Azur,non,oui,2377,veuf,0.44,2022-05-18,5000.0,18901.259369115334
48,156.8,77.6,oui,4,Île-de-France,oui,oui,4010,veuf,0.57,2025-05-28,10000.0,40137.50246898064
59,174.4,62.1,oui,1,Provence-Alpes-Côte d’Azur,oui,non,2448,veuf,0.33,2020-03-25,10000.0,500.0
41,172.6,62.4,non,2,Île-de-France,oui,non,4319,célibataire,0.08,2020-01-27,5175.89104031576,500.0
43,153.2,69.8,oui,2,Auvergne-Rhône-Alpes,non,oui,4897,veuf,0.27,2023-09-14,10000.0,35962.04802835945
45,168.0,58.7,non,1,Provence-Alpes-Côte d’Azur,non,non,4231,marié,0.06,2021-10-03,5000.0,500.0
61,167.0,57.3,non,4,Normandie,oui,oui,2261,,0.73,2023-01-13,734.6,24528.671120857394
21,162.0,79.6,non,0,Hauts-de-France,oui,oui,645,veuf,0.03,2025-01-08,10000.0,500.0
22,160.4,73.5,oui,3,Provence-Alpes-Côte d’Azur,non,non,3191,veuf,0.74,2020-02-06,10000.0,3639.7413556351794
75,147.7,54.3,non,3,Bretagne,non,non,2452,marié,0.49,2023-12-18,5175.89104031576,500.0
60,164.2,79.5,oui,3,Île-de-France,non,oui,2571,,0.41,2020-04-15,10000.0,33049.468422152735
44,150.0,57.9,non,2,Hauts-de-France,non,oui,4154,célibataire,0.76,2022-01-18,5000.0,10656.8885958248
21,179.9,48.9,oui,2,Occitanie,non,non,969,marié,0.02,2024-12-02,731.72,500.0
29,178.0,76.3,non,1,Île-de-France,oui,oui,3121,célibataire,0.72,2022-07-10,5000.0,7051.1771065952
25,166.1,82.6,non,3,Occitanie,non,non,3384,divorcé,0.65,2020-08-01,10000.0,500.0
68,185.4,56.5,oui,0,Auvergne-Rhône-Alpes,non,oui,2285,célibataire,0.21,2020-12-16,10000.0,2724.919805153449
27,157.7,52.5,oui,4,Auvergne-Rhône-Alpes,oui,oui,2483,,0.99,2025-02-20,33.29,26282.620988748466
72,157.2,64.2,non,1,Hauts-de-France,non,oui,2466,veuf,0.16,2022-01-16,5175.89104031576,5070.610961595275
72,162.2,54.9,oui,4,Bretagne,non,non,2684,veuf,0.78,2021-12-04,5000.0,15080.08702060483
35,178.6,70.5,oui,0,Hauts-de-France,non,oui,4243,veuf,0.02,2022-08-19,10000.0,14306.900020371317
44,154.9,67.5,non,1,Occitanie,non,oui,2265,,0.22,2024-04-12,10000.0,6693.74203294808
23,153.4,74.9,oui,3,Provence-Alpes-Côte d’Azur,oui,non,3055,célibataire,0.35,2020-06-15,5175.89104031576,1798.0125221383746
42,170.7,87.0,oui,4,Île-de-France,non,non,1203,,0.38,2024-06-03,5175.89104031576,10497.778053549608
62,165.3,86.1,non,0,Corse,oui,non,4340,célibataire,0.7,2021-12-19,1004.67,500.0
23,170.3,91.7,non,0,Corse,non,oui,1676,marié,0.04,2022-08-24,10000.0,500.0
23,170.8,46.7,oui,2,Bretagne,oui,oui,531,divorcé,0.96,2020-12-17,5175.89104031576,500.0
22,157.9,31.8,non,2,Bretagne,oui,oui,1733,,0.64,2025-04-08,1411.64,6372.475344505444
37,166.2,85.2,oui,1,Île-de-France,non,oui,2743,divorcé,0.49,2021-08-07,5175.89104031576,16741.9804046619
27,160.6,71.5,oui,4,Occitanie,non,oui,500,veuf,0.23,2024-10-09,5175.89104031576,14504.604268333092
49,156.9,68.6,non,2,Corse,non,oui,1711,veuf,0.53,2022-06-10,5175.89104031576,500.0
27,137.6,57.3,oui,2,Auvergne-Rhône-Alpes,oui,oui,3193,,0.07,2021-07-09,5175.89104031576,17151.38822035942
59,172.6,70.3,non,4,Hauts-de-France,oui,oui,3498,marié,0.86,2023-01-15,459.59,12032.654325077505
41,177.4,82.0,oui,2,Occitanie,non,oui,1882,veuf,0.2,2023-12-26,5175.89104031576,28685.37160497041
45,162.2,46.1,non,1,Hauts-de-France,oui,oui,1084,veuf,0.98,2024-08-11,10000.0,500.0
73,159.2,67.1,non,3,Hauts-de-France,non,non,2345,veuf,0.86,2022-11-22,5175.89104031576,500.0
43,161.9,56.7,non,0,Occitanie,non,oui,2740,divorcé,0.1,2025-01-30,773.51,6726.144540197254
60,165.8,64.5,oui,0,Bretagne,oui,non,1704,divorcé,0.3,2021-06-17,5000.0,500.0
57,173.2,54.9,non,0,Auvergne-Rhône-Alpes,oui,oui,871,veuf,0.47,2024-10-19,5175.89104031576,500.0
64,171.3,71.2,non,3,Hauts-de-France,non,oui,2589,veuf,0.7,2021-10-27,5175.89104031576,20212.703427559845
49,181.9,72.9,non,4,Corse,oui,oui,1127,marié,0.22,2025-06-04,5175.89104031576,5504.582746306162
68,181.6,81.4,non,3,Hauts-de-France,non,oui,1526,,0.49,2020-04-01,5175.89104031576,8878.890939012841
23,162.8,42.8,non,1,Bretagne,non,non,1797,divorcé,0.04,2024-01-07,546.16,500.0
40,155.4,74.5,non,0,Auvergne-Rhône-Alpes,oui,oui,2165,marié,0.84,2022-09-28,887.1,500.0
72,171.1,60.4,non,2,Provence-Alpes-Côte d’Azur,oui,oui,2676,célibataire,0.46,2025-04-03,5000.0,10124.44495985712
68,161.0,63.5,non,3,Bretagne,oui,oui,2107,divorcé,0.84,2022-12-03,688.7,8921.973730630438
32,163.8,76.0,non,4,Corse,oui,oui,2063,divorcé,0.38,2024-10-04,854.72,6035.446018551712
48,188.6,81.7,oui,3,Normandie,oui,oui,1290,divorcé,0.49,2022-07-21,10000.0,8255.660172817976
75,164.3,65.9,non,0,Bretagne,non,oui,1313,divorcé,0.85,2025-02-09,1260.4,5083.612822428259
57,171.0,39.3,non,0,Bretagne,oui,non,1029,marié,0.52,2021-10-29,10000.0,500.0
75,175.4,79.0,oui,0,Occitanie,non,oui,2362,divorcé,0.39,2023-04-26,5000.0,500.0
62,178.4,66.8,oui,0,Corse,oui,oui,3735,divorcé,0.4,2024-09-04,5175.89104031576,500.0
37,171.7,82.7,non,1,Île-de-France,non,non,2379,marié,0.21,2023-04-28,5175.89104031576,500.0
63,170.2,47.8,non,3,Auvergne-Rhône-Alpes,non,oui,2170,célibataire,0.15,2021-05-12,902.3,16629.25199108691
70,180.8,86.5,oui,3,Provence-Alpes-Côte d’Azur,oui,oui,5826,marié,0.62,2024-12-15,5175.89104031576,29125.10607760429
51,150.6,81.2,oui,4,Hauts-de-France,non,oui,3353,,0.86,2021-12-31,5175.89104031576,29651.483306242997
31,176.9,72.0,non,4,Occitanie,oui,non,1599,,0.35,2024-01-06,5000.0,500.0
31,170.0,51.7,oui,4,Île-de-France,non,oui,1814,divorcé,0.07,2023-10-19,5175.89104031576,38558.79613385785
21,172.5,75.1,oui,2,Hauts-de-France,oui,oui,609,célibataire,1.0,2024-12-28,723.68,500.0
20,179.9,73.5,oui,1,Auvergne-Rhône-Alpes,oui,oui,3332,célibataire,0.03,2021-08-28,5175.89104031576,14791.054255033709
56,161.2,92.0,non,4,Normandie,non,oui,2204,,0.81,2022-06-18,5000.0,24690.30817151772
42,166.9,85.5,oui,0,Auvergne-Rhône-Alpes,non,oui,3099,divorcé,0.73,2021-03-04,5175.89104031576,14232.322333697375
55,182.7,74.8,non,4,Auvergne-Rhône-Alpes,oui,non,1771,,0.09,2020-02-28,5000.0,500.0
25,156.3,82.4,non,3,Bretagne,non,oui,5431,veuf,0.29,2022-01-22,5000.0,27702.156529405507
67,176.1,75.2,non,4,Île-de-France,non,oui,2979,veuf,0.56,2021-10-23,5175.89104031576,30331.9324936551
49,180.4,66.0,oui,0,Provence-Alpes-Côte d’Azur,oui,non,3192,veuf,0.35,2023-05-01,621.78,500.0
47,168.4,66.8,non,2,Bretagne,non,oui,3877,divorcé,0.69,2021-09-27,780.64,26198.455079027182
68,169.2,93.5,oui,3,Provence-Alpes-Côte d’Azur,oui,non,2128,célibataire,0.18,2020-07-12,5175.89104031576,500.0
19,152.9,55.7,oui,0,Île-de-France,non,oui,1772,divorcé,0.42,2022-02-20,10000.0,12454.328982490384
65,176.8,59.5,oui,1,Île-de-France,non,non,5181,veuf,0.56,2021-05-08,10000.0,14858.463980839962
75,160.0,66.5,oui,2,Normandie,oui,oui,3746,,0.73,2021-04-28,1002.34,16415.71124195981
53,178.0,43.5,oui,3,Normandie,oui,oui,2952,célibataire,0.03,2021-09-15,1101.41,24462.730419394706
59,151.6,78.3,oui,0,Provence-Alpes-Côte d’Azur,oui,oui,500,célibataire,0.38,2023-09-09,672.52,500.0
20,171.6,88.3,non,2,Provence-Alpes-Côte d’Azur,non,non,500,célibataire,0.2,2024-12-25,921.64,500.0
34,176.9,43.0,oui,4,Normandie,non,oui,1863,marié,0.92,2024-02-13,5175.89104031576,14449.054890309168
54,164.4,80.1,oui,0,Bretagne,oui,oui,1363,marié,0.44,2020-11-24,10000.0,500.0
73,159.4,69.4,oui,1,Hauts-de-France,oui,non,3806,,0.29,2020-04-09,5175.89104031576,500.0
67,164.9,64.9,non,1,Île-de-France,non,oui,951,célibataire,0.35,2024-03-10,5000.0,500.0
25,170.7,79.9,non,0,Normandie,non,non,500,,0.26,2022-09-01,10000.0,500.0
66,151.8,58.3,non,3,Hauts-de-France,non,non,2612,célibataire,0.25,2021-08-12,1616.31,500.0
69,185.7,71.8,non,0,Occitanie,non,oui,936,,0.28,2023-01-30,5175.89104031576,500.0
59,168.4,72.7,oui,3,Bretagne,non,non,1251,marié,0.86,2022-05-19,926.12,4878.545755190827
35,154.3,90.8,oui,2,Provence-Alpes-Côte d’Azur,oui,oui,614,veuf,0.95,2021-12-01,821.99,500.0
40,173.7,61.6,oui,4,Occitanie,non,oui,1899,,0.31,2021-01-29,1414.5,23223.68674933023
64,156.4,52.9,non,0,Occitanie,non,non,1541,marié,0.33,2022-02-15,5175.89104031576,500.0
55,147.3,95.3,oui,4,Corse,non,oui,1440,marié,0.06,2022-07-26,948.67,32053.702626437243
51,189.5,66.6,oui,0,Hauts-de-France,non,non,4944,marié,0.92,2021-03-03,10000.0,500.0
43,161.7,70.8,non,4,Bretagne,oui,non,1103,marié,0.69,2025-04-12,10000.0,500.0
36,168.7,94.1,non,2,Île-de-France,oui,oui,2002,divorcé,0.23,2021-01-23,5000.0,9001.546015414096
72,161.5,47.1,oui,2,Provence-Alpes-Côte d’Azur,oui,non,4216,divorcé,0.29,2020-03-06,10000.0,500.0
23,166.6,66.8,non,3,Provence-Alpes-Côte d’Azur,oui,oui,2582,marié,0.83,2021-10-29,5000.0,10903.397392817302
67,155.8,61.9,non,1,Normandie,non,oui,863,célibataire,0.65,2021-05-31,10000.0,500.0
26,165.8,83.7,non,3,Occitanie,non,non,3895,,0.61,2023-12-02,5175.89104031576,3166.058998466729
70,170.0,68.5,oui,4,Île-de-France,oui,oui,500,marié,0.92,2022-12-08,548.48,24181.38134356665
64,161.4,69.0,non,0,Île-de-France,oui,oui,3318,,0.61,2024-08-10,10000.0,2720.813788949977
49,172.1,68.2,non,3,Hauts-de-France,non,non,500,marié,0.5,2020-01-23,5000.0,500.0
69,173.4,51.2,oui,2,Île-de-France,oui,non,1817,veuf,0.15,2024-04-14,10000.0,500.0
22,169.2,93.2,non,4,Normandie,oui,oui,1224,divorcé,0.23,2023-04-21,5000.0,11196.8709848394
19,157.9,61.6,oui,3,Hauts-de-France,oui,oui,2237,divorcé,0.62,2022-11-30,10000.0,4057.591842683427
